Arquivo de registro de conexão
06:06PM - 07/11/2023 - Conexão Caiu
06:06PM - 07/11/2023 - Conexão Restaurada
06:12PM - 07/11/2023 - Conexão Caiu
06:12PM - 07/11/2023 - Conexão Restaurada
06:12PM - 07/11/2023 - Conexão Caiu
06:13PM - 07/11/2023 - Conexão Restaurada
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:23PM - 07/11/2023 - Conexão Caiu
06:24PM - 07/11/2023 - Conexão Caiu
06:24PM - 07/11/2023 - Conexão Caiu
06:24PM - 07/11/2023 - Conexão Caiu
06:24PM - 07/11/2023 - Conexão Caiu
06:24PM - 07/11/2023 - Conexão Caiu
06:24PM - 07/11/2023 - Conexão Caiu
06:24PM - 07/11/2023 - Conexão Caiu
06:24PM - 07/11/2023 - Conexão Caiu
06:24PM - 07/11/2023 - Conexão Caiu
06:24PM - 07/11/2023 - Conexão Caiu
06:24PM - 07/11/2023 - Conexão Caiu
06:24PM - 07/11/2023 - Conexão Caiu
06:24PM - 07/11/2023 - Conexão Caiu
06:24PM - 07/11/2023 - Conexão Caiu
06:24PM - 07/11/2023 - Conexão Caiu
06:24PM - 07/11/2023 - Conexão Caiu
06:24PM - 07/11/2023 - Conexão Caiu
06:24PM - 07/11/2023 - Conexão Caiu
06:24PM - 07/11/2023 - Conexão Caiu
06:24PM - 07/11/2023 - Conexão Caiu
06:24PM - 07/11/2023 - Conexão Caiu
06:24PM - 07/11/2023 - Conexão Caiu
06:24PM - 07/11/2023 - Conexão Caiu
06:24PM - 07/11/2023 - Conexão Caiu
06:24PM - 07/11/2023 - Conexão Caiu
06:24PM - 07/11/2023 - Conexão Caiu
06:24PM - 07/11/2023 - Conexão Caiu
06:24PM - 07/11/2023 - Conexão Caiu
06:24PM - 07/11/2023 - Conexão Caiu
06:24PM - 07/11/2023 - Conexão Caiu
06:24PM - 07/11/2023 - Conexão Caiu
06:24PM - 07/11/2023 - Conexão Caiu
